1848 22.01911 7.460160  0.021893  0.0001 50  32.4884  10.6792
1848 26.12721 6.379508  5.151288  0.0078 46  31.3958  10.6672
1855 47.82485 32.879667  875062906.935547  0.0000 71  62.0725  14.4483
1855 38.39133 23.457173  49025.768067  0.0001 67  48.9617  10.7601
1855 30.60931 16.167752  58.516199  0.0001 55  40.2589  9.3467
1855 26.02237 11.639806  1.274519  0.0003 47  34.7549  8.3706
1855 22.30401 7.983218  0.028157  0.0005 40  30.5680  7.8402
1855 21.32732 6.838902  0.062140  0.0006 44  29.4558  7.8723
1897 21.72552 33.921389  0.039134  0.0000 73  70.0660  21.2674
1897 19.51469 24.180428  0.006408  0.0000 61  54.7424  15.6848
1897 35.95811 16.677567  8068.180102  0.0001 54  45.7618  14.2071
1897 31.02437 12.013991  127.434553  0.0004 50  39.5655  12.6743
1897 27.57513 8.221199  3.556973  0.0009 39  35.2030  12.1047
1897 26.53427 7.071288  7.494437  0.0010 41  34.0831  12.1346
1946 31.91586 31.391405  378.837718  0.0000 72  52.8001  6.9344
1946 28.01194 22.363026  3.461891  0.0000 57  41.9249  5.0875
1946 25.51144 15.412823  0.537246  0.0003 51  34.4418  4.5547
1946 23.68164 11.112517  0.149889  0.0029 40  30.0206  4.4337
1946 22.36911 7.585347  0.029844  0.0229 48  26.4708  4.4111
1946 22.04498 6.507222  0.120060  0.0419 48  25.4896  4.5080
1983 44.99721 32.307164  64711905.704756  0.0000 73  65.1411  18.1792
1983 36.29511 23.025824  7111.115681  0.0000 65  51.5101  13.8295
1983 29.99547 15.861157  33.247144  0.0000 51  42.8678  12.3519
1983 26.05665 11.449168  1.315324  0.0000 49  37.1797  11.0758
1983 22.77223 7.817430  0.042943  0.0001 38  32.9994  10.5273
1983 21.71722 6.722283  0.088840  0.0001 43  31.9685  10.5915
1988 40.43703 33.147467  970318.850695  0.0000 70  67.5624  19.6269
1988 33.51438 23.641717  549.097816  0.0000 63  53.3282  14.8985
1988 28.39532 16.297675  7.617368  0.0000 43  44.4563  13.3706
1988 25.13181 11.754715  0.562637  0.0000 46  38.5398  11.9970
1988 22.33277 8.026048  0.028890  0.0000 48  34.3430  11.5289
1988 21.38788 6.873735  0.065682  0.0000 46  33.2253  11.5635
2004 38.82005 36.551393  218836.830524  0.0000 77  69.2746  17.5967
2004 32.63186 26.055886  243.582677  0.0000 67  54.6436  13.4612
2004 28.08700 17.963492  5.734870  0.0000 51  45.1384  12.0484
2004 25.21984 12.944312  0.609940  0.0000 45  38.9154  10.8446
2004 22.73636 8.845854  0.041566  0.0000 48  34.3286  10.3562
2004 27.02995 7.573794  11.830686  0.0040 39  33.0347  10.3344
